           BC.GW2       
2000-01-01 69.0         
2000-02-01 46.0         
2000-03-01 33.0         
2000-04-01 43.0         
2000-05-01 37.0         
2000-06-01 20.0         
2000-07-01 25.0         
2000-08-01 25.0         
2000-09-01 28.0         
2000-10-01 49.0         
2000-11-01 31.0         
2000-12-01 49.0         
2001-01-01 107.400001526
2001-02-01 27.0         
2001-03-01 45.2000007629
2001-04-01 15.0         
2001-05-01 20.2999992371
2001-06-01 26.7999992371
2001-07-01 28.1000003815
2001-08-01 24.6000003815
2001-09-01 12.0         
2001-10-01 16.1000003815
2001-11-01 21.8999996185
2001-12-01 24.3999996185
