           BC.GW1       
2000-01-01 58.0         
2000-02-01 48.0         
2000-03-01 37.0         
2000-04-01 36.0         
2000-05-01 31.0         
2000-06-01 20.0         
2000-07-01 19.0         
2000-08-01 27.0         
2000-09-01 20.0         
2000-10-01 33.0         
2000-11-01 41.0         
2000-12-01 55.0         
2001-01-01 52.7999992371
2001-02-01 34.0         
2001-03-01 48.4000015259
2001-04-01 52.5         
2001-05-01 28.8999996185
2001-06-01 24.2000007629
2001-07-01 13.6999998093
2001-08-01 27.2000007629
2001-09-01 24.0         
2001-10-01 44.0         
2001-11-01 35.5999984741
2001-12-01 62.9000015259
