#           BC.SR1
SR1, 2000-01-01, 1, 94.0  
SR1, 2000-02-01, 1, 69.0  
SR1, 2000-03-01, 1, 80.0  
SR1, 2000-04-01, 1, 65.0  
SR1, 2000-05-01, 1, 55.0  
SR1, 2000-06-01, 1, 45.0  
SR1, 2000-07-01, 1, 39.0  
SR1, 2000-08-01, 1, 43.0  
SR1, 2000-09-01, 1, 60.0  
SR1, 2000-10-01, 1, 70.0  
SR1, 2000-11-01, 1, 85.0  
SR1, 2000-12-01, 1, 110.0 
SR1, 2001-01-01, 1, 134.0 
SR1, 2001-02-01, 1, 76.0  
SR1, 2001-03-01, 1, 41.0  
SR1, 2001-04-01, 1, 89.0  
SR1, 2001-05-01, 1, 77.0  
SR1, 2001-06-01, 1, 45.0  
SR1, 2001-07-01, 1, 26.0  
SR1, 2001-08-01, 1, 38.0  
SR1, 2001-09-01, 1, 50.0  
SR1, 2001-10-01, 1, 73.0  
SR1, 2001-11-01, 1, 52.0  
SR1, 2001-12-01, 1, 96.0  

